Date,oil_price,change_oil_price,gdp,change_gdp,interest_rate,change_interest_rate,cpi,change_cpi_rate,unemployment_rate,change_unemployment_rate,stock,stock_price,monthly_return,volatility,industry
07-1981,31.1,-1.830808081,3260.609,3.101217632,19.04,110.85271317829456,91.5,1.104972376,7.2,-4,MMM,5.669940948486328,-0.056521757,0.049899399,Industrials & Energy
07-1981,31.1,-1.830808081,3260.609,3.101217632,19.04,110.85271317829456,91.5,1.104972376,7.2,-4,WMT,0.096354,-0.026314196,0.015445839,Consumer Discretionary & Consumer Staples
08-1981,31.1,0,3260.609,3.101217632,17.82,85.43184183142561,92.2,0.765027322,7.4,2.777777778,IBM,13.175190925598145,-0.017817395,0.008147028,Technology & Communication Services
08-1981,31.1,0,3260.609,3.101217632,17.82,85.43184183142561,92.2,0.765027322,7.4,2.777777778,MMM,5.3694610595703125,-0.052995241,0.044479712,Industrials & Energy
08-1981,31.1,0,3260.609,3.101217632,17.82,85.43184183142561,92.2,0.765027322,7.4,2.777777778,WMT,0.092772998,-0.037165062,0.008976226,Consumer Discretionary & Consumer Staples
09-1981,31.1,0,3260.609,3.101217632,15.87,45.99816007359706,93.1,0.976138829,7.6,2.702702703,IBM,12.936184883117676,-0.018140613,0.007079321,Technology & Communication Services
09-1981,31.1,0,3260.609,3.101217632,15.87,45.99816007359706,93.1,0.976138829,7.6,2.702702703,MMM,5.225752830505371,-0.026763995,0.016258531,Industrials & Energy
09-1981,31.1,0,3260.609,3.101217632,15.87,45.99816007359706,93.1,0.976138829,7.6,2.702702703,WMT,0.098306999,0.059650985,0.053042594,Consumer Discretionary & Consumer Staples
10-1981,30.98,-0.38585209,3280.818,0.619792192,15.08,17.72053083528493,93.4,0.322234157,7.9,3.947368421,IBM,12.308794975280762,-0.048498836,0.017621374,Technology & Communication Services
10-1981,30.98,-0.38585209,3280.818,0.619792192,15.08,17.72053083528493,93.4,0.322234157,7.9,3.947368421,MMM,5.186559200286865,-0.007500093,0.022836319,Industrials & Energy
10-1981,30.98,-0.38585209,3280.818,0.619792192,15.08,17.72053083528493,93.4,0.322234157,7.9,3.947368421,WMT,0.10351599752902985,0.052987061,0.054075811,Consumer Discretionary & Consumer Staples
11-1981,30.97,-0.03227889,3280.818,0.619792192,13.31,-16.02523659,93.8,0.428265525,8.3,5.063291139,IBM,13.025813102722168,0.058252504,0.055005119,Technology & Communication Services
11-1981,30.97,-0.03227889,3280.818,0.619792192,13.31,-16.02523659,93.8,0.428265525,8.3,5.063291139,MMM,5.669940948486328,0.093198926,0.064423718,Industrials & Energy
11-1981,30.97,-0.03227889,3280.818,0.619792192,13.31,-16.02523659,93.8,0.428265525,8.3,5.063291139,WMT,0.11425799876451492,0.1037714120706088,0.027598521,Consumer Discretionary & Consumer Staples
12-1981,30.8,-0.548918308,3280.818,0.619792192,12.37,-34.55026455,94.1,0.319829424,8.5,2.409638554,IBM,13.593450546264648,0.043577889,0.0578638,Technology & Communication Services
12-1981,30.8,-0.548918308,3280.818,0.619792192,12.37,-34.55026455,94.1,0.319829424,8.5,2.409638554,MMM,5.696070194244385,0.004608381,0.054977559,Industrials & Energy
12-1981,30.8,-0.548918308,3280.818,0.619792192,12.37,-34.55026455,94.1,0.319829424,8.5,2.409638554,WMT,0.11067699640989304,-0.031341371,0.068246855,Consumer Discretionary & Consumer Staples
01-1982,30.8,0,3274.302,-0.198609005,13.22,-30.71278826,94.4,0.318809777,8.6,1.176470588,IBM,15.206740379333496,0.11868140672437022,0.039806898,Technology & Communication Services
01-1982,30.8,0,3274.302,-0.198609005,13.22,-30.71278826,94.4,0.318809777,8.6,1.176470588,MMM,5.865907192230225,0.029816521,0.04564549,Industrials & Energy
01-1982,30.8,0,3274.302,-0.198609005,13.22,-30.71278826,94.4,0.318809777,8.6,1.176470588,WMT,0.11035200208425522,-0.002936422,0.071237709,Consumer Discretionary & Consumer Staples
02-1982,29.73,-3.474025974,3274.302,-0.198609005,14.78,-7.21908349,94.7,0.31779661,8.9,3.488372093,IBM,14.788479804992676,-0.027504946,0.073102391,Technology & Communication Services
02-1982,29.73,-3.474025974,3274.302,-0.198609005,14.78,-7.21908349,94.7,0.31779661,8.9,3.488372093,MMM,5.735262870788574,-0.022271802,0.026048634,Industrials & Energy
02-1982,29.73,-3.474025974,3274.302,-0.198609005,14.78,-7.21908349,94.7,0.31779661,8.9,3.488372093,WMT,0.10807300359010696,-0.020652081,0.014346583,Consumer Discretionary & Consumer Staples
03-1982,28.31,-4.776320215,3274.302,-0.198609005,14.68,-0.136054422,94.7,0,9,1.123595506,IBM,14.280592918395996,-0.034343414,0.086442476,Technology & Communication Services
03-1982,28.31,-4.776320215,3274.302,-0.198609005,14.68,-0.136054422,94.7,0,9,1.123595506,MMM,5.696070194244385,-0.006833632,0.026754327,Industrials & Energy
03-1982,28.31,-4.776320215,3274.302,-0.198609005,14.68,-0.136054422,94.7,0,9,1.123595506,WMT,0.11914099752902985,0.10241219889567366,0.066529434,Consumer Discretionary & Consumer Staples
04-1982,27.64,-2.366654892,3331.972,1.761291414,14.94,-4.961832061,95,0.316789863,9.3,3.333333333,IBM,15.356119155883787,0.075313836,0.061431777,Technology & Communication Services
04-1982,27.64,-2.366654892,3331.972,1.761291414,14.94,-4.961832061,95,0.316789863,9.3,3.333333333,MMM,5.735262870788574,0.006880652,0.014584719,Industrials & Energy
04-1982,27.64,-2.366654892,3331.972,1.761291414,14.94,-4.961832061,95,0.316789863,9.3,3.333333333,WMT,0.13541699945926666,0.13661126117624645,0.082710491,Consumer Discretionary & Consumer Staples
05-1982,27.66,0.0723589,3331.972,1.761291414,14.45,-21.9762419,95.9,0.947368421,9.4,1.075268817,IBM,14.69885254,-0.04280161,0.065888178,Technology & Communication Services
05-1982,27.66,0.0723589,3331.972,1.761291414,14.45,-21.9762419,95.9,0.947368421,9.4,1.075268817,MMM,5.3694610595703125,-0.063781176,0.037470429,Industrials & Energy
05-1982,27.66,0.0723589,3331.972,1.761291414,14.45,-21.9762419,95.9,0.947368421,9.4,1.075268817,WMT,0.12727899849414823,-0.060095859,0.10509688877818248,Consumer Discretionary & Consumer Staples
06-1982,28.12,1.663051338,3331.972,1.761291414,14.15,-25.91623037,97,1.147028154,9.6,2.127659574,IBM,14.489723205566406,-0.014227596,0.061624401,Technology & Communication Services
06-1982,28.12,1.663051338,3331.972,1.761291414,14.15,-25.91623037,97,1.147028154,9.6,2.127659574,MMM,5.565425872802734,0.036496179,0.051519772,Industrials & Energy
06-1982,28.12,1.663051338,3331.972,1.761291414,14.15,-25.91623037,97,1.147028154,9.6,2.127659574,WMT,0.13769499957561493,0.081835976,0.1015206621816992,Consumer Discretionary & Consumer Staples
07-1982,28.09,-0.106685633,3366.322,1.030921028,12.59,-33.87605042,97.5,0.515463918,9.8,2.083333333,IBM,15.68475056,0.082474132,0.065652761,Technology & Communication Services
07-1982,28.09,-0.106685633,3366.322,1.030921028,12.59,-33.87605042,97.5,0.515463918,9.8,2.083333333,MMM,5.552361965179443,-0.002347333,0.050560992,Industrials & Energy
07-1982,28.09,-0.106685633,3366.322,1.030921028,12.59,-33.87605042,97.5,0.515463918,9.8,2.083333333,WMT,0.14192700386047363,0.030734626,0.071886683,Consumer Discretionary & Consumer Staples
08-1982,27.99,-0.355998576,3366.322,1.030921028,10.12,-43.20987654,97.7,0.205128205,9.8,0,IBM,16.849903106689453,0.074285692,0.053623498,Technology & Communication Services
08-1982,27.99,-0.355998576,3366.322,1.030921028,10.12,-43.20987654,97.7,0.205128205,9.8,0,MMM,6.427676200866699,0.1576471853198005,0.083451214,Industrials & Energy
08-1982,27.99,-0.355998576,3366.322,1.030921028,10.12,-43.20987654,97.7,0.205128205,9.8,0,WMT,0.1634110063314438,0.15137360675978728,0.060553824,Consumer Discretionary & Consumer Staples
09-1982,27.99,0,3366.322,1.030921028,10.31,-35.03465658,97.7,0,10.1,3.06122449,IBM,17.537046432495117,0.040780254,0.02209089,Technology & Communication Services
09-1982,27.99,0,3366.322,1.030921028,10.31,-35.03465658,97.7,0,10.1,3.06122449,MMM,6.6497697830200195,0.034552702,0.083777593,Industrials & Energy
09-1982,27.99,0,3366.322,1.030921028,10.31,-35.03465658,97.7,0,10.1,3.06122449,WMT,0.18489600718021393,0.13147829715455317,0.064677243,Consumer Discretionary & Consumer Staples
10-1982,28.76,2.750982494,3402.561,1.07651615,9.71,-35.61007958,98.1,0.409416581,10.4,2.97029703,IBM,19.09058380126953,0.088586033,0.024537409,Technology & Communication Services
10-1982,28.76,2.750982494,3402.561,1.07651615,9.71,-35.61007958,98.1,0.409416581,10.4,2.97029703,MMM,7.6034698486328125,0.14341850872011186,0.067338041,Industrials & Energy
10-1982,28.76,2.750982494,3402.561,1.07651615,9.71,-35.61007958,98.1,0.409416581,10.4,2.97029703,WMT,0.20442700386047363,0.10563233342958722,0.022935058,Consumer Discretionary & Consumer Staples
11-1982,28.74,-0.069541029,3402.561,1.07651615,9.2,-30.87903832,98,-0.101936799,10.8,3.846153846,IBM,20.673995971679688,0.082942051,0.026124268,Technology & Communication Services
11-1982,28.74,-0.069541029,3402.561,1.07651615,9.2,-30.87903832,98,-0.101936799,10.8,3.846153846,MMM,7.747178077697754,0.018900348,0.067825182,Industrials & Energy
11-1982,28.74,-0.069541029,3402.561,1.07651615,9.2,-30.87903832,98,-0.101936799,10.8,3.846153846,WMT,0.2467450052499771,0.2070078834515745,0.052677849,Consumer Discretionary & Consumer Staples
12-1982,28.02,-2.505219207,3402.561,1.07651615,8.95,-27.64753436,97.7,-0.306122449,10.8,0,IBM,23.004301071166992,0.1127167240759588,0.015814951,Technology & Communication Services
12-1982,28.02,-2.505219207,3402.561,1.07651615,8.95,-27.64753436,97.7,-0.306122449,10.8,0,MMM,7.838628768920898,0.011804387,0.074024097,Industrials & Energy
12-1982,28.02,-2.505219207,3402.561,1.07651615,8.95,-27.64753436,97.7,-0.306122449,10.8,0,WMT,0.25976601243019104,0.052771107,0.078379732,Consumer Discretionary & Consumer Staples
01-1983,27.22,-2.855103498,3473.413,2.082313881,8.68,-34.3419062,97.9,0.204708291,10.4,-3.703703704,IBM,23.63169288635254,0.027272805,0.043370995,Technology & Communication Services
01-1983,27.22,-2.855103498,3473.413,2.082313881,8.68,-34.3419062,97.9,0.204708291,10.4,-3.703703704,MMM,7.864758014678955,0.003333395,0.007793592,Industrials & Energy
01-1983,27.22,-2.855103498,3473.413,2.082313881,8.68,-34.3419062,97.9,0.204708291,10.4,-3.703703704,WMT,0.24479199945926663,-0.057644235,0.1329293511914152,Consumer Discretionary & Consumer Staples
02-1983,26.41,-2.975753123,3473.413,2.082313881,8.51,-42.42219215,98,0.102145046,10.4,0,IBM,23.66156768798828,0.001264184,0.058307776,Technology & Communication Services
